GO_ID	GO_term
GO:0009925	C:basal plasma membrane
GO:0016323	C:basolateral plasma membrane
GO:0005887	C:integral component of plasma membrane
GO:0005886	C:plasma membrane
GO:0043235	C:receptor complex
GO:0005524	F:ATP binding
GO:0004714	F:transmembrane receptor protein tyrosine kinase activity
GO:0038128	P:ERBB2 signaling pathway
GO:0000165	P:MAPK cascade
GO:0007275	P:multicellular organism development
GO:0008284	P:positive regulation of cell population proliferation
GO:0033674	P:positive regulation of kinase activity
GO:0051897	P:positive regulation of protein kinase B signaling
GO:2000145	P:regulation of cell motility
GO:0007165	P:signal transduction
GO:0007169	P:transmembrane receptor protein tyrosine kinase signaling pathway
